"skill","salary"
"sas","57500"
"excel","57500"
"sas","57500"
"spss","57500"
"sql","114184"
"sas","114184"
"snowflake","114184"
"sas","114184"
"sql","100000"
"visual basic","100000"
"oracle","100000"
"cognos","100000"
"alteryx","100000"
"sql","105000"
"sas","105000"
"javascript","105000"
"excel","105000"
"sas","105000"
"spss","105000"
"sql","85000"
"mysql","85000"
"postgresql","85000"
"snowflake","85000"
"excel","85000"
"tableau","85000"
"looker","85000"
"jira","85000"
"sql","80000"
"excel","80000"
"tableau","80000"
"power bi","80000"
"sql","83105"
"sql","48600"
"python","48600"
"excel","48600"
"power bi","48600"
"spss","48600"
"spark","105650"
"sql","140500"
"python","140500"
"oracle","140500"
"unix","140500"
"windows","140500"
"sql","117000"
"python","117000"
"tableau","117000"
"looker","117000"
"sql","111175"
"python","111175"
"sap","111175"
"sql","81000"
"sql server","81000"
"snowflake","81000"
"tableau","81000"
"ssrs","81000"
"sql","59500"
"python","59500"
"excel","59500"
"sql","150000"
"sas","150000"
"sas","150000"
"sql","89100"
"python","89100"
"java","89100"
"azure","89100"
"aws","89100"
"snowflake","89100"
"hadoop","89100"
"git","89100"
"jenkins","89100"
"kubernetes","89100"
"docker","89100"
"github","89100"
"sap","105000"
"visual basic","60000"
"vba","60000"
"excel","60000"
"power bi","60000"
"sharepoint","60000"
"sql","100000"
"python","100000"
"scala","100000"
"java","100000"
"r","100000"
"sas","100000"
"excel","100000"
"sas","100000"
"word","100000"
"powerpoint","100000"
"sql","63000"
"excel","63000"
"windows","39551"
"excel","39551"
"word","39551"
"sql","129050"
"tableau","129050"
"sql","57000"
"python","57000"
"r","57000"
"aws","57000"
"spark","57000"
"excel","57000"
"tableau","57000"
"alteryx","57000"
"sql","85000"
"python","85000"
"redshift","85000"
"snowflake","85000"
"tableau","85000"
"sql","87500"
"excel","87500"
"power bi","87500"
"sql","87000"
"python","87000"
"r","87000"
"tableau","87000"
"power bi","87000"
"flow","87000"
"sql","111175"
"snowflake","111175"
"tableau","111175"
"jira","111175"
"sql","159331"
"python","159331"
"r","159331"
"tableau","159331"
"sql","125000"
"python","125000"
"r","125000"
"excel","125000"
"tableau","125000"
"word","125000"
"powerpoint","125000"
"outlook","125000"
"sql","77000"
"python","77000"
"powershell","77000"
"sql server","77000"
"azure","77000"
"excel","77000"
"powerpoint","77000"
"outlook","77000"
"sql","54988"
"nosql","54988"
"java","54988"
"c++","54988"
"aws","54988"
"redshift","54988"
"spark","54988"
"linux","54988"
"sql","150000"
"python","150000"
"r","150000"
"sql","115000"
"excel","115000"
"flow","115000"
"python","98500"
"go","98500"
